City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Yerbogachën,RU,61.28,108.01,5.18,94,5.12,100
Bilma,NE,18.69,12.92,69.8,35,14.14,0
Marzuq,YE,14.4,46.47,63.52,59,3.18,3
Bānswāra,IN,23.55,74.45,66.94,37,2.95,0
Ponta do Sol,PT,32.67,-17.1,62.35,77,2.24,20
Varca,IN,15.22,73.92,77.14,82,6.53,1
Deputatsky,RU,69.3,139.9,-4.97,93,3.29,98
Moreira Sales,BR,-24.06,-53.01,75.92,43,0.74,0
Anicuns,BR,-16.46,-49.96,78.31,58,0.67,88
Oktyabr'skoye,RU,43.06,44.74,44.31,81,8.95,100
Sibiti,CG,-3.68,13.35,69.96,100,2.3,82
Haverfordwest,GB,51.8,-4.97,56.17,76,9.17,100
Ryōtsu-minato,JP,38.08,138.43,62.6,51,13.87,75
Coruripe,BR,-10.13,-36.18,77.45,84,13.22,16
Upington,ZA,-28.45,21.26,69.8,40,8.05,0
Berlevåg,NO,70.86,29.09,39.22,74,30.38,88
Tshikapa,CD,-6.42,20.8,70.68,95,2.04,100
Dryden,CA,49.78,-92.75,33.8,90,10.29,90
Zhigansk,RU,66.77,123.37,-15.5,88,4.45,84
Rapid Valley,US,44.06,-103.15,66.63,36,9.17,1
Nishihara,JP,26.18,127.76,76.19,88,5.82,1
Grindavik,IS,63.84,-22.43,39.2,86,17.22,75
Ostrovnoy,RU,68.05,39.51,34.5,89,21.16,100
Alihe,CN,50.57,123.72,16.12,86,8.28,96
Altay,CN,47.87,88.12,35.11,77,3.18,79
Newport,GB,51.59,-3.0,51.17,95,1.01,99
Captainganj,IN,26.93,83.72,64.94,63,2.13,0
Altamira,BR,-3.2,-52.21,77.72,87,2.15,82
Ciudad Mante,MX,22.73,-98.97,84.99,42,1.99,17
Sibolga,ID,1.74,98.78,77.05,82,4.21,100
Sobolevo,RU,54.43,31.9,47.88,91,13.09,95
Muskego,US,42.91,-88.14,63.82,45,6.93,1
Mahibadhoo,MV,3.78,72.97,83.3,75,9.78,86
Chumikan,RU,54.72,135.31,9.21,88,13.42,91
Fare,PF,-16.7,-151.02,80.04,74,10.6,91
Thunder Bay,CA,48.4,-89.32,42.85,87,10.29,90
Maposeni,TZ,-10.58,35.4,69.67,63,6.91,0
Bahraich,IN,27.58,81.6,63.36,56,1.99,0
Yonezawa,JP,37.92,140.12,51.8,100,3.36,75
Verkhoyansk,RU,67.54,133.38,-27.18,83,1.07,46
Mumbai,IN,19.01,72.85,78.8,54,4.7,0
Kununurra,AU,-15.77,128.73,82.4,65,3.36,71
Chapada dos Guimarães,BR,-15.46,-55.75,91.4,46,10.29,20
Arlit,NE,18.74,7.39,73.15,26,8.14,2
Vardø,NO,70.37,31.11,39.69,73,24.92,65
Bamnet Narong,TH,15.5,101.69,68.94,83,10.98,42
Baturaja,ID,-4.13,104.17,73.22,93,2.15,96
Whitehorse,CA,60.72,-135.05,6.8,84,11.41,75
Khāsh,IR,28.22,61.22,46.42,55,2.01,0
Kharp,RU,66.8,65.81,23.41,97,1.03,99
Nabire,ID,-3.37,135.48,81.59,76,1.23,100
Yar-Sale,RU,66.83,70.83,24.96,99,2.3,92
Tiffin,US,41.11,-83.18,60.94,59,6.2,0
Kang,BW,-23.68,22.79,81.75,17,4.27,0
Guaratinga,BR,-16.57,-39.57,77.0,88,9.17,75
La Santisima Trinidad,BO,-14.83,-64.9,91.4,63,2.93,34
Kalmunai,LK,7.42,81.82,78.49,82,5.03,68
Charters Towers,AU,-20.1,146.27,79.32,59,14.97,38
Sola,VU,-13.88,167.55,81.63,80,12.01,36
Scorţeni,RO,45.1,25.85,37.83,100,3.36,75
Peleduy,RU,59.63,112.74,4.33,91,2.53,100
Pitimbu,BR,-7.47,-34.81,78.8,83,11.41,75
Kumul,CN,42.8,93.45,38.17,63,6.35,75
Pag,HR,44.45,15.06,44.6,100,2.24,0
Māgadi,IN,12.97,77.23,68.0,100,6.93,75
Iqaluit,CA,63.75,-68.51,8.6,78,3.36,75
Shakawe,BW,-18.37,21.85,79.9,40,2.77,72
Stornoway,GB,58.21,-6.39,42.48,93,4.7,2
Bathsheba,BB,13.22,-59.52,80.6,83,17.22,40
Hūn,LY,29.13,15.95,57.45,91,7.65,0
Moyale,KE,3.52,39.06,65.89,96,2.42,92
Maniitsoq,GL,65.42,-52.9,21.63,86,14.23,100
Bonita Springs,US,26.34,-81.78,74.37,96,1.01,100
Paragominas,BR,-2.97,-47.48,76.08,89,3.69,55
Comendador,DO,18.88,-71.7,72.09,81,5.37,100
Flinders,AU,-34.58,150.86,66.0,58,4.0,35
Miramar,US,25.99,-80.23,75.18,100,13.87,75
Shenjiamen,CN,29.96,122.3,64.6,71,14.72,79
Santa Ana,US,33.75,-117.87,56.26,66,4.7,75
Najrān,SA,17.49,44.13,66.2,36,1.54,0
Nouakchott,MR,18.09,-15.98,80.6,61,14.99,7
Dickinson,US,29.46,-95.05,72.61,73,8.05,40
Bend,US,44.06,-121.32,39.18,41,13.87,1
Kuril'sk,RU,45.23,147.88,46.83,77,9.82,86
Dubbo,AU,-32.25,148.62,66.2,55,17.22,0
Jalu,LY,29.03,21.55,62.19,79,11.27,0
Colares,PT,38.8,-9.45,61.16,100,15.84,20
Capão da Canoa,BR,-29.75,-50.01,68.56,82,13.2,53
Kodinsk,RU,58.69,99.18,34.29,93,4.63,100
Zhalantun,CN,48.0,122.72,20.88,80,18.84,0
Blagoyevo,RU,63.37,47.92,32.85,96,10.36,100
Porto Franco,BR,-6.34,-47.4,77.77,82,1.97,81
Kolochava,UA,48.43,23.7,41.52,83,1.72,2
Bonavista,CA,48.65,-53.11,35.06,86,1.12,93
Kamaishi,JP,39.27,141.88,53.6,87,3.36,75
Sorong,ID,-0.88,131.25,81.79,80,11.43,100
Coahuayana Viejo,MX,18.73,-103.68,84.2,62,9.17,40
Agadez,NE,19.75,10.25,66.43,33,12.3,0
Arrondissement de Poitiers,FR,46.58,0.33,56.07,100,8.05,90
Krasnoarmiys'k,UA,48.28,37.18,43.59,83,6.71,12
Santa Isabel,BR,-23.32,-46.22,63.66,82,5.82,0
Suntar,RU,62.14,117.63,-6.48,90,4.5,7
Kulhudhuffushi,MV,6.62,73.07,83.21,78,13.96,90
Ilo,PE,-17.64,-71.34,63.28,79,1.32,62
Oyama,JP,36.3,139.8,61.23,93,1.21,75
Sokolo,ML,14.73,-6.12,80.26,15,10.63,0
Tsnori,GE,41.62,45.97,50.0,81,4.7,75
Biltine,TD,14.53,20.92,74.08,21,7.7,0
Burē,ET,10.7,37.07,57.31,81,6.51,98
Jaqué,PA,7.52,-78.17,77.0,78,5.53,44
Kupino,RU,54.37,77.3,39.47,70,12.82,94
Parabel',RU,58.7,81.48,36.21,82,11.92,100
Ambilobe,MG,-13.2,49.05,72.99,80,3.4,100
Dābhol,IN,17.6,73.17,74.35,76,5.23,1
Hannibal,US,39.71,-91.36,68.41,40,3.36,1
Balasheyka,RU,53.28,48.09,36.32,83,13.49,39
Dolinsk,RU,47.35,142.8,33.8,95,11.18,75
Bambanglipuro,ID,-7.95,110.28,79.09,79,2.51,71
Severnyy,RU,50.68,36.55,39.2,100,8.95,90
Laas,IT,46.62,10.7,41.27,86,1.83,5
Autun,FR,46.95,4.3,57.06,67,5.82,0
Tsaghkahovit,AM,40.63,44.22,33.8,74,1.12,40
Mogadishu,SO,2.04,45.34,79.5,81,6.93,100
Humaitá,BR,-7.51,-63.02,80.1,76,1.72,47
Santa Marinella,IT,42.03,11.85,57.6,87,5.01,2
Felanitx,ES,39.47,3.15,59.14,100,3.36,20
